Tag,Label
11698,Taxonomy6 § MediaBig5 § MediaBig5extended § MediaComposure § M-Direct
11699,Taxonomy6 § MediaBig5 § MediaBig5extended § MediaComposure § M-Perfectionist
11700,Taxonomy6 § MediaBig5 § MediaBig5extended § MediaComposure § M-Easy-going
11701,Taxonomy6 § MediaBig5 § MediaBig5extended § MediaComposure § M-Measured
11821,Taxonomy6 § Personality § UK § General Interests § Sports Fanatics
11822,Taxonomy6 § Personality § UK § General Interests § Music Fanatics
11823,Taxonomy6 § Personality § UK § General Interests § Book Worms
11824,Taxonomy6 § Personality § UK § General Interests § Gamers
11825,Taxonomy6 § Personality § UK § General Interests § Family Focused
11826,Taxonomy6 § Personality § UK § General Interests § Style Conscious
11828,Taxonomy6 § Personality § UK § General Interests § Auto Enthusiasts
11905,Taxonomy6 § Personality § UK § General Interests § Arts And Crafters
11907,Taxonomy6 § Personality § UK § General Interests § Avant-Garde
11923,Taxonomy6 § Personality § UK § General Interests § Gourmet Explorers
12471,Taxonomy3 § Retired Segments § Internet and TV § TV § TV Channel § USA § HBO
12886,Taxonomy5 § Editorial Segments § Commercial § commercial_end
12887,Taxonomy5 § Editorial Segments § Commercial § commercial_start
30000,Taxonomy4 § Demographics § Age § 18 to 24
30001,Taxonomy4 § Demographics § Age § 25 to 34
30002,Taxonomy4 § Demographics § Age § 35 to 44
30003,Taxonomy4 § Demographics § Age § 45 to 54
30004,Taxonomy4 § Demographics § Age § 55 to 64
30006,Taxonomy4 § Entertainment § Interest § Gaming Console
30007,Taxonomy4 § Entertainment § Video Game § Party Music and Dance Games
30009,Taxonomy4 § Finance § Credit Card § User
